tBodyAcc-std()-X,tBodyAcc-mad()-X,tBodyAcc-max()-X,tBodyAcc-sma(),tGravityAcc-mean()-X,tGravityAcc-max()-X,tGravityAcc-min()-X,tGravityAcc-energy()-X,tBodyAccJerk-entropy()-X,tBodyAccJerk-entropy()-Y,tBodyAccJerk-entropy()-Z,tBodyAccMag-mean(),tBodyAccMag-sma(),tGravityAccMag-mean(),tGravityAccMag-sma(),tBodyAccJerkMag-sma(),tBodyAccJerkMag-entropy(),fBodyAcc-mean()-X,fBodyAcc-std()-X,fBodyAcc-mad()-X,fBodyAcc-sma(),fBodyAcc-entropy()-X,fBodyAcc-entropy()-Y,fBodyAcc-entropy()-Z,fBodyAccJerk-entropy()-X,fBodyAccJerk-entropy()-Y,fBodyAccJerk-entropy()-Z,fBodyAccMag-entropy(),fBodyBodyAccJerkMag-entropy(),"angle(X,gravityMean)",Activity
-0.99776322,-0.99829082,-0.94147242,-0.99765121,0.95318325,0.8786168,0.97318829,0.87257568,-0.8507439,-0.76783603,-0.7939587,-0.997891,-0.997891,-0.997891,-0.997891,-0.99306888,-0.87490707,-0.99657474,-0.99844386,-0.99719098,-0.99588168,-1.0,-0.94487044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7620229,5
-0.99786211,-0.99833345,-0.94456672,-0.99562527,0.95309294,0.8786168,0.97269154,0.87233892,-0.86267325,-0.70491858,-0.81385853,-0.99589346,-0.99589346,-0.99589346,-0.99589346,-0.99222923,-0.83438212,-0.9975464,-0.99796805,-0.99738207,-0.99573479,-1.0,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76150888,5
-0.99838929,-0.99886852,-0.94367519,-0.99512555,0.95273161,0.87858596,0.97263986,0.87139136,-0.86267325,-0.71308021,-0.74895994,-0.99521534,-0.99521534,-0.99521534,-0.99521534,-0.99337454,-0.84549161,-0.99750264,-0.9989003,-0.99851052,-0.99390662,-1.0,-0.90474776,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75896013,5
-0.99853388,-0.99867433,-0.94255883,-0.9944015,0.9532188,0.87914624,0.97263986,0.87266922,-0.83927424,-0.73281806,-0.73058231,-0.99419344,-0.99419344,-0.99419344,-0.99419344,-0.99333286,-0.8832464,-0.99865677,-0.99840255,-0.99850011,-0.99591232,-1.0,-0.94487044,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75897692,5
-0.99805969,-0.99805916,-0.94255883,-0.99565454,0.95419361,0.8799811,0.97384493,0.87522686,-0.82823515,-0.7627508,-0.76089534,-0.9957494,-0.9957494,-0.9957494,-0.9957494,-0.99251624,-0.87366019,-0.99747202,-0.99834409,-0.99711173,-0.99475278,-1.0,-0.94487044,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76219671,5
-0.99925496,-0.99940654,-0.94288961,-0.99824199,0.95458893,0.8799811,0.97436858,0.87626443,-0.8750964,-0.7627508,-0.80301146,-0.9985525,-0.9985525,-0.9985525,-0.9985525,-0.99338553,-0.83461996,-0.99898187,-0.99939524,-0.99936959,-0.99703625,-1.0,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.76370208,5
-0.90429967,-0.90110019,-0.93189578,-0.53697289,0.87409866,0.86053314,0.84957326,0.67244755,-0.50173008,-0.87283765,-0.95318134,-0.5543692,-0.5543692,-0.5543692,-0.5543692,-0.97526798,-0.57560394,-0.92128754,-0.89802907,-0.92114841,-0.65843736,-0.41123535,-0.21696556,-0.28803113,-1.0,-0.93912029,-0.94221628,-0.10336335,-0.940965,-0.66708465,4
-0.98291504,-0.98441781,-0.93189578,-0.93271174,0.83566368,0.79063055,0.84957326,0.57709208,-0.7051801,-0.89525258,-0.83300047,-0.93459377,-0.93459377,-0.93459377,-0.93459377,-0.99288968,-0.87062782,-0.98612352,-0.9814758,-0.98637664,-0.96837424,-0.89287915,-0.67893968,-0.88855242,-1.0,-1.0,-1.0,-0.69565438,-1.0,-0.56480737,4
-0.99281839,-0.99309238,-0.935389,-0.97627349,0.83695957,0.76602185,0.85049913,0.5801554,-0.83183196,-0.84773001,-0.7704034,-0.97699498,-0.97699498,-0.97699498,-0.97699498,-0.99423479,-0.85780706,-0.99293691,-0.9926239,-0.99366183,-0.98090469,-0.90731609,-0.78542693,-0.83788423,-1.0,-1.0,-1.0,-0.81667357,-1.0,-0.57936742,4
-0.81470826,-0.87868152,-0.73715155,-0.80656485,0.83878762,0.76878451,0.85834757,0.58455207,-0.4086981,-0.27922196,-0.19119468,-0.81575864,-0.81575864,-0.81575864,-0.81575864,-0.91387886,-0.14704815,-0.80764453,-0.81740855,-0.79522808,-0.72341382,-0.0047925363,-0.15162405,-0.017507291,-0.38471759,-0.36190925,-0.45491341,-0.062458527,-0.41351289,-0.58280626,4
-0.75839283,-0.77411817,-0.73715155,-0.45642363,0.81080506,0.76878451,0.71629126,0.51947242,0.058529082,-0.043095302,-0.094543452,-0.50739668,-0.50739668,-0.50739668,-0.50739668,-0.86678801,0.13508202,-0.81335631,-0.73954717,-0.77136463,-0.71776202,-0.066209672,-0.063287034,-0.18112572,-0.27452622,-0.30937406,-0.42715771,-0.06323488,-0.39291452,-0.5529392,4
-0.80863778,-0.80621297,-0.91606376,-0.57894843,0.70308608,0.76859123,0.62498772,0.28138849,-0.12590409,-0.46045324,-0.59782657,-0.62102725,-0.62102725,-0.62102725,-0.62102725,-0.94302661,-0.23865941,-0.85010909,-0.79420134,-0.86135444,-0.76134374,-0.20321947,-0.27015008,-0.12218206,-0.48512569,-0.61823559,-0.65353563,-0.30537751,-0.57339379,-0.41836808,4
-0.95650333,-0.96200594,-0.91606376,-0.91197211,0.6182581,0.61323374,0.62498772,0.097539102,-0.664456,-0.80343976,-0.88567207,-0.91595384,-0.91595384,-0.91595384,-0.91595384,-0.99107291,-0.77251065,-0.9677791,-0.95235854,-0.96571957,-0.94309281,-0.68759656,-0.43919865,-0.81351333,-1.0,-1.0,-1.0,-0.43649868,-1.0,-0.30588411,4
-0.97737449,-0.9776306,-0.91682527,-0.97009712,0.6220655,0.55810315,0.62614858,0.10489711,-0.8750964,-0.84773001,-0.88555418,-0.97480504,-0.97480504,-0.97480504,-0.97480504,-0.99684513,-0.86572364,-0.98339322,-0.974984,-0.98277103,-0.97841519,-0.85400629,-0.88991077,-0.75496674,-1.0,-1.0,-1.0,-0.75205571,-1.0,-0.30919487,4
-0.99385604,-0.993878,-0.9416171,-0.9943652,0.62745102,0.55810315,0.65132063,0.11567687,-0.91577638,-0.83690284,-0.8486859,-0.99523836,-0.99523836,-0.99523836,-0.99523836,-0.99763638,-0.88927761,-0.99597643,-0.99282051,-0.99507817,-0.99736806,-0.94635692,-0.94487044,-0.90357248,-1.0,-1.0,-1.0,-0.94618223,-1.0,-0.3167322,4
-0.99607594,-0.99628687,-0.9416171,-0.99860643,0.62532313,0.55392299,0.65132063,0.11136634,-0.8750964,-0.81637168,-0.8322179,-0.99906744,-0.99906744,-0.99906744,-0.99906744,-0.99661376,-0.90935752,-0.99612732,-0.99594084,-0.99637142,-0.99834866,-0.94635692,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.31457502,4
-0.99557733,-0.99623837,-0.93831151,-0.99754897,0.62577398,0.55365758,0.65179327,0.11227705,-0.81760141,-0.84773001,-0.8486859,-0.9980118,-0.9980118,-0.9980118,-0.9980118,-0.99594417,-0.92073714,-0.99529816,-0.99560896,-0.99524515,-0.99693401,-0.94635692,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.31488562,4
-0.97995358,-0.98017878,-0.93963693,-0.92980351,0.89093772,0.83656109,0.89503171,0.71304125,-0.64881272,-0.52259754,-0.70493375,-0.92623334,-0.92623334,-0.92623334,-0.92623334,-0.98365142,-0.63017965,-0.98333264,-0.97845261,-0.98285912,-0.95598597,-0.8207533,-0.50601776,-0.7827794,-1.0,-1.0,-1.0,-0.57273386,-0.940965,-0.65435613,4
-0.99078294,-0.99249787,-0.93963693,-0.97219539,0.87653997,0.81832977,0.89495487,0.67696952,-0.73336629,-0.84901748,-0.74613933,-0.96816289,-0.96816289,-0.96816289,-0.96816289,-0.9923627,-0.83080179,-0.98981469,-0.99110846,-0.98918138,-0.98096744,-0.90731609,-0.75795326,-0.86879874,-1.0,-1.0,-1.0,-0.79053264,-1.0,-0.65078203,4
-0.99546804,-0.99597751,-0.93978877,-0.99211439,0.87482213,0.80223406,0.89495487,0.67268543,-0.76982813,-0.88269135,-0.74121714,-0.99295106,-0.99295106,-0.99295106,-0.99295106,-0.9934185,-0.8832464,-0.99443506,-0.9959233,-0.99465281,-0.99232649,-1.0,-0.94487044,-0.86879874,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64514606,4
-0.99439029,-0.99505023,-0.93978877,-0.99259795,0.8764618,0.80246354,0.89682418,0.67675121,-0.78792545,-0.81637168,-0.75700147,-0.9934379,-0.9934379,-0.9934379,-0.9934379,-0.99298342,-0.84865931,-0.99263436,-0.99525185,-0.99287618,-0.99219213,-1.0,-0.94487044,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64657849,4
-0.9955058,-0.99570639,-0.94012022,-0.99072904,0.87645385,0.80246354,0.89708448,0.67673141,-0.81760141,-0.79723506,-0.76534956,-0.99091407,-0.99091407,-0.99091407,-0.99091407,-0.99379982,-0.82189636,-0.9941993,-0.99613117,-0.99531538,-0.99397997,-1.0,-0.94487044,-0.94419022,-1.0,-1.0,-1.0,-0.94618223,-1.0,-0.64706219,4
-0.99501877,-0.99481764,-0.94171541,-0.9869718,0.87538094,0.80216168,0.89639725,0.67406982,-0.83927424,-0.82645564,-0.76870613,-0.98754731,-0.98754731,-0.98754731,-0.98754731,-0.99413667,-0.83870609,-0.99498345,-0.99491636,-0.9952184,-0.99164048,-0.94635692,-0.88991077,-0.83788423,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64510509,4
-0.99474489,-0.9944187,-0.94171541,-0.98903607,0.87579788,0.80274896,0.89639725,0.67510457,-0.80735107,-0.84901748,-0.81385853,-0.99012264,-0.99012264,-0.99012264,-0.99012264,-0.99493458,-0.8904483,-0.99404402,-0.9949904,-0.9950931,-0.99248331,-0.94635692,-0.94487044,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64633366,4
-0.9958764,-0.99614139,-0.942012,-0.99214427,0.87599536,0.80274896,0.89651331,0.6755942,-0.75741954,-0.84901748,-0.85819973,-0.99302412,-0.99302412,-0.99302412,-0.99302412,-0.99568683,-0.90757561,-0.99461052,-0.99649281,-0.99506157,-0.99554629,-1.0,-0.90474776,-0.86879874,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64799745,4
-0.99664602,-0.99694978,-0.9432431,-0.99362814,0.87478155,0.80180866,0.8963139,0.67258341,-0.74826155,-0.7881567,-0.83064568,-0.99414636,-0.99414636,-0.99414636,-0.99414636,-0.99431393,-0.94628423,-0.99558307,-0.99716899,-0.99579336,-0.99511982,-1.0,-0.94487044,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64625395,4
-0.99642843,-0.99673775,-0.93857257,-0.9930175,0.87474639,0.80079378,0.8963139,0.67249612,-0.75741954,-0.77092425,-0.80680763,-0.99354892,-0.99354892,-0.99354892,-0.99354892,-0.99348023,-0.92773193,-0.99492259,-0.99723615,-0.99579361,-0.9940251,-1.0,-0.94487044,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64604389,4
-0.99588454,-0.99654303,-0.93857257,-0.99180241,0.8742316,0.80079378,0.89443607,0.67122109,-0.74826155,-0.83690284,-0.85411573,-0.99264098,-0.99264098,-0.99264098,-0.99264098,-0.9950409,-0.81346763,-0.99475289,-0.99641687,-0.99478379,-0.9948828,-1.0,-0.94487044,-0.86879874,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6448514,4
-0.99584854,-0.99610117,-0.94068373,-0.99130428,0.87324201,0.80001788,0.89441143,0.66876946,-0.79746479,-0.83690284,-0.87609553,-0.99205145,-0.99205145,-0.99205145,-0.99205145,-0.9959885,-0.84583324,-0.99527834,-0.9960453,-0.99565779,-0.99561376,-0.94635692,-0.94487044,-0.94419022,-1.0,-1.0,-1.0,-0.94618223,-1.0,-0.64322033,4
-0.99572983,-0.99610425,-0.94068373,-0.99081106,0.87410872,0.80081269,0.89441143,0.67091688,-0.82823515,-0.80663598,-0.81385853,-0.99147471,-0.99147471,-0.99147471,-0.99147471,-0.99400136,-0.89291811,-0.99296524,-0.99743328,-0.99620245,-0.99316476,-1.0,-0.88991077,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64545984,4
-0.91481115,-0.91769589,-0.78510398,-0.90489549,-0.25504375,-0.27190525,-0.28910234,-0.95357982,-0.50158699,-0.43323358,-0.54313129,-0.90512291,-0.90512291,-0.90512291,-0.90512291,-0.96035654,-0.42474467,-0.92631396,-0.91037489,-0.92201452,-0.90675861,-0.43048731,-0.31607703,-0.54256068,-0.64694747,-0.52130996,-0.94221628,-0.36928054,-0.54887719,0.43247853,6
-0.98488259,-0.98798454,-0.92005119,-0.98660376,-0.21014776,-0.27190525,-0.19419584,-0.93565059,-0.7297566,-0.81155472,-0.78599311,-0.98744609,-0.98744609,-0.98744609,-0.98744609,-0.99274198,-0.8165016,-0.98687443,-0.98389409,-0.98611876,-0.98746845,-0.8207533,-0.94487044,-0.80988792,-1.0,-1.0,-1.0,-0.8734817,-1.0,0.39985328,6
-0.9941946,-0.99490115,-0.94016395,-0.99754678,-0.20876483,-0.2721186,-0.16510276,-0.93504242,-0.78792545,-0.83697977,-0.79786929,-0.99798763,-0.99798763,-0.99798763,-0.99798763,-0.99513057,-0.82953202,-0.99361477,-0.99436299,-0.99504283,-0.99652312,-0.90731609,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,0.39906577,6
-0.99613535,-0.99639333,-0.94077317,-0.99867572,-0.20956406,-0.27787264,-0.16510276,-0.93543728,-0.81760141,-0.85895589,-0.88567207,-0.99950449,-0.99950449,-0.99950449,-0.99950449,-0.99665137,-0.86079994,-0.99574989,-0.99623496,-0.9965224,-0.9980681,-0.94635692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.39955483,6
-0.99677544,-0.99716687,-0.94267266,-0.99874124,-0.20874807,-0.27787264,-0.16347696,-0.93504006,-0.81760141,-0.83690284,-0.83064568,-0.99905773,-0.99905773,-0.99905773,-0.99905773,-0.99626463,-0.87196728,-0.99651117,-0.99682163,-0.99590995,-0.9980933,-1.0,-1.0,-0.86879874,-1.0,-1.0,-1.0,-1.0,-1.0,0.3988886,6
-0.99492812,-0.99558636,-0.93897407,-0.99729159,-0.20871697,-0.27772943,-0.16308855,-0.93502487,-0.79746479,-0.82538647,-0.75079769,-0.99742945,-0.99742945,-0.99742945,-0.99742945,-0.99351031,-0.82314991,-0.99470159,-0.99492265,-0.99476254,-0.99628038,-0.94635692,-1.0,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,0.39889738,6
-0.9944254,-0.99493879,-0.93897407,-0.99663685,-0.20863346,-0.27768159,-0.16325144,-0.93498404,-0.76982813,-0.84901748,-0.82209984,-0.99741966,-0.99741966,-0.99741966,-0.99741966,-0.99320615,-0.81590899,-0.99403729,-0.99449739,-0.99447602,-0.9955322,-0.94635692,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,0.39888109,6
-0.99647493,-0.99729491,-0.93945264,-0.99710198,-0.20856027,-0.27682849,-0.16325144,-0.93494815,-0.80735107,-0.84773001,-0.82209984,-0.99728212,-0.99728212,-0.99728212,-0.99728212,-0.9949283,-0.84693873,-0.99569054,-0.99681573,-0.99606802,-0.99600232,-1.0,-1.0,-0.90357248,-1.0,-1.0,-1.0,-1.0,-1.0,0.39877771,6
-0.99628711,-0.99725464,-0.93844914,-0.995754,-0.20760682,-0.27547292,-0.16324532,-0.93448046,-0.81760141,-0.74823601,-0.80591386,-0.9957705,-0.9957705,-0.9957705,-0.9957705,-0.9932731,-0.87901129,-0.99529395,-0.99674939,-0.99557539,-0.99460298,-1.0,-0.94487044,-0.86879874,-1.0,-1.0,-1.0,-1.0,-1.0,0.39801973,6
-0.99478811,-0.99588986,-0.93345851,-0.99533849,-0.20636268,-0.27528116,-0.16163737,-0.93386935,-0.75362867,-0.72132718,-0.79015164,-0.9958683,-0.9958683,-0.9958683,-0.9958683,-0.99125179,-0.91620825,-0.99307421,-0.99564117,-0.99399805,-0.99361686,-1.0,-0.94487044,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,0.39713425,6
-0.99551063,-0.99615034,-0.93345851,-0.9971119,-0.20649916,-0.27528116,-0.16166286,-0.93393651,-0.70802088,-0.85895589,-0.7939587,-0.99758819,-0.99758819,-0.99758819,-0.99758819,-0.99333114,-0.89942197,-0.99480416,-0.99577676,-0.99563325,-0.99607348,-0.94635692,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,0.3973035,6
-0.99614315,-0.99637502,-0.93988139,-0.99736734,-0.20702615,-0.27572579,-0.16166323,-0.93419608,-0.75295471,-0.85895589,-0.77468554,-0.99786725,-0.99786725,-0.99786725,-0.99786725,-0.99407848,-0.90834436,-0.9951802,-0.99658088,-0.99571855,-0.99666951,-1.0,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,0.39775801,6
-0.99523683,-0.99551468,-0.93922131,-0.99676708,-0.20699211,-0.27609877,-0.16166323,-0.93417939,-0.71423735,-0.80663598,-0.78522962,-0.9973188,-0.9973188,-0.9973188,-0.9973188,-0.99366314,-0.85953915,-0.99354586,-0.99609844,-0.99498054,-0.99608791,-1.0,-1.0,-0.94419022,-1.0,-1.0,-1.0,-1.0,-1.0,0.39779057,6
-0.66129361,-0.69394813,-0.89128356,-0.71635358,0.044743889,0.36664438,-0.034266092,-0.73088343,-0.048739473,-0.26309222,-0.3700052,-0.72162699,-0.72162699,-0.72162699,-0.72162699,-0.9219028,-0.098010302,-0.66860442,-0.65825324,-0.68057348,-0.67962251,-0.062930312,-0.20296933,-0.022197555,-0.46857318,-0.35957646,-0.47257572,-0.01808333,-0.36617515,0.20575936,6
-0.95859648,-0.95685496,-0.89128356,-0.94301151,-0.047727828,-0.091058425,-0.034266092,-0.83216934,-0.57438326,-0.69123547,-0.5982315,-0.94290262,-0.94290262,-0.94290262,-0.94290262,-0.98397266,-0.69490363,-0.97498679,-0.95311651,-0.96961073,-0.96870567,-0.79121256,-0.76135307,-0.86879874,-1.0,-1.0,-0.94221628,-0.79053264,-0.89799999,0.27854399,6
